2,7,3,3,3,3,1,2,2,2,1,4,1,7,2,8,6,2,6,6,5,3,6,1,3,3,3,1,4,1,2,2,2,3,3,4,3,3,3,2,1,1,8,2,5,1,1,4,3,1,2,1,2,1,4,1,4,4,2,1,1,1,5,6,7,5,2,4,1,1,1,6,1,1,1
4,1,4,2,6,1,1,1,2,2,3,2,4,2,1,1,8,1,4,6,1,1,6,4,1,1,7,1,2,5,9,2,1,2,1,8,2,5,7,4,6,1,6,4,1,1,2,2,6,1,1,1,2,1,1,1,3,1,6,7,8,9,3,1,1,3,2,2,1,1,5,3,4,2,8
1,1,1,2,5,2,3,5,5,5,2,10,7,4,5,1,3,2,2,8,2,3,2,1,5,1,1,2,2,1,5,1,1,8,2,1,1,5,5,7,3,1,5,1,5,8,1,2,4,3,2,3,2,4,1,5,1,9,2,1,4,2,8,3,4,1,1,5,5,7,3,6,10,7,7
1,1,5,3,1,6,2,1,1,3,1,1,1,3,6,1,1,1,4,1,5,1,1,1,2,1,1,1,1,2,1,3,2,1,4,3,5,3,1,6,2,2,4,3,1,1,1,7,4,4,1,1,2,1,2,3,2,4,1,5,3,8,7,3,1,1,1,4,4,3,3,2,1,3,1
2,2,6,2,2,3,1,6,1,3,1,1,7,1,6,6,2,9,1,1,1,2,3,5,1,4,6,2,1,4,2,7,1,3,2,1,4,4,4,6,2,8,3,5,5,2,1,4,3,7,10,6,2,9,4,1,1,1,6,3,1,1,3,7,1,1,1,1,1,3,7,2,7,2,3
1,1,2,4,6,3,2,6,2,2,1,10,5,2,2,5,6,5,4,3,2,2,1,2,4,1,2,2,3,6,1,5,3,1,3,1,2,3,2,4,10,7,5,5,5,2,1,1,9,1,2,2,5,1,1,1,1,4,6,6,1,2,2,5,1,6,3,1,6,8,6,2,1,6,2
3,2,4,2,2,1,6,2,2,6,4,6,1,2,1,3,1,2,1,4,5,5,3,5,6,1,1,5,2,2,6,1,5,2,7,6,1,3,2,10,4,2,1,3,1,4,1,1,7,1,7,4,9,6,1,1,6,4,2,5,1,4,1,2,1,4,4,4,3,8,1,3,3,1,1
2,1,2,9,5,1,1,8,3,8,3,1,3,2,3,8,2,6,8,1,7,6,2,4,4,1,4,1,1,2,4,9,4,1,5,7,3,2,6,3,1,8,1,5,1,4,5,1,1,2,3,5,1,5,2,2,4,1,6,5,2,5,1,3,1,4,1,1,9,4,2,9,5,4,6
9,2,5,1,3,1,5,7,6,6,3,1,5,3,2,3,1,6,2,1,2,3,6,2,1,2,4,6,1,1,1,2,1,6,1,2,3,2,2,10,1,4,1,2,5,1,3,9,1,4,7,1,5,5,7,1,1,9,1,2,7,9,8,1,2,2,8,3,1,3,5,6,6,8,8
3,1,5,3,6,6,3,6,6,7,4,4,2,1,5,1,1,8,5,1,1,6,6,4,1,5,6,8,5,3,3,1,4,2,2,6,7,2,1,1,1,1,1,4,4,1,2,1,1,8,2,5,3,3,1,8,6,2,1,1,1,6,2,1,4,3,1,6,6,7,3,3,2,2,7
