7,5,2,3,2,1,3,3,2,7,7,1,2,2,6,3,9,2,4,6
6,3,2,1,3,6,6,2,1,6,1,4,5,6,9,7,1,3,1,10
2,5,1,4,3,1,1,3,1,1,3,5,2,2,3,2,7,2,3,3
1,3,2,5,1,3,6,2,2,4,4,3,4,2,1,4,1,7,3,1
3,5,7,4,5,1,3,6,7,1,1,3,1,1,7,5,1,8,4,8
2,1,8,7,1,2,4,5,1,8,1,2,3,1,4,6,2,3,1,5
4,5,2,3,1,4,1,2,7,2,5,1,7,2,1,4,1,2,4,3
2,3,1,1,5,8,1,1,1,5,4,2,9,1,7,5,6,1,5,6
2,1,2,3,8,2,6,3,1,2,1,1,1,7,4,5,8,3,7,4
1,3,2,2,2,8,1,9,2,2,2,4,6,2,2,1,3,7,1,1
9,1,6,1,3,1,6,6,1,1,3,8,1,1,4,1,4,2,1,3
1,1,1,5,1,3,1,2,4,6,4,5,10,6,2,9,1,2,4,4
4,6,1,1,2,5,5,5,1,3,2,5,3,1,1,5,2,1,2,4
3,8,3,3,1,2,6,1,1,2,3,6,4,1,1,4,2,1,6,5
2,3,2,1,8,4,2,2,2,4,4,1,1,1,4,3,2,1,8,4
5,1,1,5,2,8,7,6,4,1,3,3,1,1,5,2,6,1,8,2
4,1,5,1,1,2,2,1,2,2,3,1,1,2,10,5,2,7,4,1
1,3,3,1,4,4,3,5,3,8,1,5,1,2,1,3,10,3,1,2
1,4,7,6,6,2,1,6,4,6,1,1,1,8,3,5,2,9,4,2
7,7,4,1,9,3,1,3,4,3,4,1,3,5,4,2,1,2,2,1
NEXT
102,30,241,490,493,108,127,449,202,338,42,143,270,49,314,84,93,138,477,353
